"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","7.38","426194690.04","57749958","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","33.95","909634945.45","26793371","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"AMCN","AirMedia Group Inc","2.48","108796818.8","43869685","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"ABAC","Aoxin Tianli Group, Inc.","3.7","29556506.5","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"APWC","Asia Pacific Wire & Cable Corporation Limited","3.1","42840973.9","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"ATAI","ATA Inc.","3.7961","48380087.3402","12744682","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"BIDU","Baidu, Inc.","176.38","48332587705.4","274025330","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BZUN","Baozun Inc.","11.68","257932476.8","22083260","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/bzun",
"BSPM","Biostar Pharmaceuticals, Inc.","2.8046","7396243.4418","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"BNSO","Bonso Electronics International, Inc.","2.24","11545925.44","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bnso",
"AVGO","Broadcom Limited","176.59","70455947423.28","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo",
"CSIQ","Canadian Solar Inc.","12.7","729459221.8","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CYOU","Changyou.com Limited","23.42","434254951.52","18542056","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"CADC","China Advanced Construction Materials Group, Inc.","2.3045","5502357.861","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","3.42","13797627.48","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","5.5","174378578","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/caas",
"CBAK","China BAK Battery, Inc.","1.75","34204569","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CBPO","China Biologic Products, Inc.","115.13","3124377792.25","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","2.15","6020236.5","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
