"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ATVI","Activision Blizzard, Inc","37.91","28175218894.61","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ADBE","Adobe Systems Incorporated","108.3","53549586966","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","11.32","10492153865.12","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"AKAM","Akamai Technologies, Inc.","69.79","12094600788.69","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"ALXN","Alexion Pharmaceuticals, Inc.","143.61","32204254992.78","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn",
"AMOV","America Movil, S.A.B. de C.V.","12.5","40977500000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","46.21","23942563458.76","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"AMGN","Amgen Inc.","156.78","116632165316.94","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"ADI","Analog Devices, Inc.","71.6","22065012096","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"AMAT","Applied Materials, Inc.","32.04","34493307093.36","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"ADSK","Autodesk, Inc.","79.3","17648718713.6","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adsk",
"ADP","Automatic Data Processing, Inc.","103.11","46520470404.87","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adp",
"BIIB","Biogen Inc.","295","64184471305","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/biib",
"BMRN","BioMarin Pharmaceutical Inc.","86.85","14937108903.45","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmrn",
"CHRW","C.H. Robinson Worldwide, Inc.","74.15","10508484315.4","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CA","CA Inc.","33.19","13868010561.04","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"CELG","Celgene Corporation","119.64","92745346500.72","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celg",
"CERN","Cerner Corporation","47.55","16143050348.85","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/cern",
"CHTR","Charter Communications, Inc.","298.16","80145408298.16","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/chtr",
"CINF","Cincinnati Financial Corporation","75.78","12484647695.52","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cinf",
"CTAS","Cintas Corporation","116.7","12254636891.4","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ctas",
"CSCO","Cisco Systems, Inc.","30.23","151747312574.82","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/csco",
"CTXS","Citrix Systems, Inc.","91.01","14194466752.12","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ctxs",
"CME","CME Group Inc.","117.19","39768455914.69","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cme",
"CTSH","Cognizant Technology Solutions Corporation","57.87","35109993755.25","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"CMCSA","Comcast Corporation","70.27","168144332326.38","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cmcsa",
"COST","Costco Wholesale Corporation","162.83","71521505213.52","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/cost",
"CSX","CSX Corporation","37.52","35143524922.24","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"XRAY","DENTSPLY SIRONA Inc.","58.29","13458022596.3","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xray",
