date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,81.7,81.78,79.0,78.93,21829.21,-4.35,-5.22,82.194,82.893,86.564,15712.82,13104.9,20173.61,5.46
2016-09-09,83.0,84.35,83.38,82.67,19426.06,0.42,0.51,82.942,83.385,87.254,12983.83,12021.13,20265.09,4.86
2016-09-08,82.49,83.2,82.95,82.19,9716.11,0.5,0.61,82.808,83.459,87.564,11231.52,11761.45,19891.8,2.43
2016-09-07,83.18,83.33,82.45,82.36,11779.74,-0.73,-0.88,82.906,83.59,87.787,11294.96,13515.6,20027.97,2.94
2016-09-06,82.87,83.28,83.19,81.23,15812.99,0.43,0.52,83.294,83.835,88.164,11332.4,15520.37,20112.93,3.95
2016-09-05,83.25,83.28,82.74,82.51,8184.23,0.05,0.06,83.592,84.177,88.51,10496.97,20072.41,20276.44,2.05
2016-09-02,83.41,84.2,82.71,82.58,10664.55,-0.77,-0.92,83.828,85.231,88.778,11058.43,21996.87,20590.16,2.67
2016-09-01,83.91,84.49,83.44,83.44,10033.29,-0.94,-1.11,84.11,86.809,89.013,12291.38,23203.53,20699.0,2.51
2016-08-31,84.9,84.95,84.39,83.56,11966.92,-0.29,-0.34,84.274,88.118,89.293,15736.24,24419.35,20958.18,2.99
2016-08-30,84.02,85.0,84.68,83.81,11635.86,0.79,0.94,84.376,89.383,89.537,19708.33,26375.4,21415.38,2.91
2016-08-29,83.98,84.6,83.92,83.6,10991.52,-0.18,-0.21,84.762,90.235,89.67,29647.85,27242.32,21432.12,2.75
2016-08-26,84.0,85.6,84.12,83.8,16829.3,-0.17,-0.2,86.634,91.123,89.804,32935.31,28509.05,21876.8,4.21
2016-08-25,84.11,84.75,84.26,82.01,27257.6,-0.64,-0.75,89.508,91.67,90.113,34115.69,28022.16,21701.21,6.81
2016-08-24,85.68,86.14,84.9,84.08,31827.39,-1.71,-1.97,91.962,91.984,90.46,33102.47,26540.33,21230.8,7.96
2016-08-23,84.02,87.29,86.61,84.02,61333.44,-6.7,-7.18,94.39,92.493,90.753,33042.47,24705.49,21121.78,15.33
2016-08-22,99.04,101.5,93.28,92.71,27428.8,-5.21,-5.29,95.708,92.843,91.25,24836.79,20480.46,18796.0,6.86
2016-08-19,96.89,99.1,98.49,95.8,22731.21,1.97,2.04,95.612,92.325,91.327,24082.8,19183.46,18553.66,5.68
2016-08-18,96.35,98.87,96.53,95.81,22191.5,-0.49,-0.51,93.832,91.217,91.222,21928.63,18194.46,19155.81,5.55
2016-08-17,92.55,99.2,97.04,92.54,31527.4,3.82,4.1,92.006,90.468,91.431,19978.2,17497.01,19560.98,7.88
2016-08-16,92.15,94.85,93.2,92.15,20305.06,0.41,0.44,90.596,89.691,91.739,16368.52,16455.35,18986.05,5.08
2016-08-15,89.93,93.51,92.8,89.02,23658.84,3.24,3.62,89.978,89.106,92.219,16124.13,15621.92,18722.06,5.91
2016-08-12,87.26,89.68,89.59,87.25,11960.34,2.15,2.46,89.038,88.485,92.634,14284.11,15244.55,18792.83,2.99
2016-08-11,89.22,89.99,87.4,87.27,12439.35,-2.58,-2.87,88.602,88.556,93.387,14460.3,15380.26,19475.63,3.11
2016-08-10,89.85,90.9,89.99,89.47,13478.99,-0.11,-0.12,88.93,88.937,94.271,15015.81,15921.26,20078.89,3.37
2016-08-09,88.0,90.2,90.11,87.52,19083.14,2.02,2.29,88.786,89.013,94.9,16542.19,17538.07,20612.01,4.77
2016-08-08,86.8,88.2,88.1,85.2,14458.72,0.61,0.7,88.234,89.658,95.571,15119.71,17111.53,21508.7,3.61
2016-08-05,89.06,89.19,87.41,87.4,12841.29,-1.63,-1.83,87.932,90.329,96.27,16205.0,17923.86,23135.52,3.21
2016-08-04,89.03,89.58,89.04,87.62,15216.92,-0.19,-0.21,88.51,91.227,97.24,16300.23,20117.16,24635.91,3.8
2016-08-03,87.2,90.17,89.27,86.4,21110.87,1.91,2.19,88.944,92.393,98.178,16826.71,21624.96,25556.38,5.28
2016-08-02,86.93,87.38,87.35,86.39,11970.77,0.75,0.87,89.24,93.786,99.038,18533.94,21516.74,26442.83,2.99
2016-08-01,89.44,90.27,86.59,85.0,19885.14,-3.69,-4.09,91.082,95.331,100.101,19103.34,21822.2,28394.34,4.97
2016-07-29,91.0,92.1,90.3,89.7,13317.44,-0.92,-1.01,92.726,96.782,101.171,19642.72,22341.11,29856.85,3.33
2016-07-28,90.6,91.97,91.21,89.0,17849.34,0.44,0.48,93.944,98.217,101.776,23934.1,23571.0,31051.94,4.46
2016-07-27,96.36,97.42,90.75,89.21,29647.03,-5.79,-6.0,95.842,99.605,102.185,26423.2,24236.52,32988.97,7.41
2016-07-26,94.93,96.9,96.56,94.6,14817.77,1.76,1.86,98.332,100.786,102.941,24499.54,23685.95,34012.58,3.7
2016-07-25,96.3,97.36,94.81,93.48,22582.0,-1.58,-1.64,99.58,101.483,103.413,24541.06,25905.86,35581.4,5.65
2016-07-22,99.04,99.9,96.39,96.2,34774.34,-4.32,-4.29,100.838,102.212,104.072,25039.51,28347.18,37479.07,8.69
2016-07-21,103.53,105.42,100.7,100.57,30294.87,-2.47,-2.39,102.49,103.253,104.333,23207.91,29154.66,38924.16,7.57
2016-07-20,102.8,104.07,103.2,101.5,20028.7,0.42,0.41,103.368,103.963,104.388,22049.83,29487.81,39861.61,5.01
2016-07-19,100.5,102.82,102.8,100.21,15025.4,1.72,1.7,103.24,104.291,104.482,22872.36,31368.92,42413.79,3.76
2016-07-18,104.01,105.0,101.1,101.0,25074.23,-3.63,-3.47,103.386,104.871,104.451,27270.66,34966.49,46704.51,6.27
2016-07-15,105.74,106.25,104.65,104.0,25616.36,-0.36,-0.34,103.586,105.56,104.372,31654.86,37372.59,49322.25,6.4
2016-07-14,101.99,105.2,105.09,101.6,24504.47,2.58,2.52,104.016,105.334,103.669,35101.4,38532.88,49346.5,6.13
2016-07-13,102.9,104.45,102.56,101.58,24141.32,-0.97,-0.94,104.558,104.765,102.859,36925.78,41741.42,49700.56,6.04
2016-07-12,102.0,103.58,103.53,98.28,37016.93,1.36,1.33,105.342,105.097,102.155,39865.48,44339.22,50375.96,9.25
2016-07-11,105.78,106.0,102.1,100.21,46995.22,-4.75,-4.45,106.356,105.343,101.143,42662.31,45256.95,49557.29,11.75
2016-07-08,108.43,111.88,106.8,106.6,42849.07,-1.21,-1.12,107.534,105.933,100.16,43090.32,46610.95,49587.86,10.71
2016-07-07,106.11,110.57,107.8,106.0,33626.38,1.3,1.22,106.652,105.412,99.399,41964.36,48693.67,49577.71,8.41
2016-07-06,108.0,108.95,106.48,104.17,38839.78,-2.2,-2.02,104.972,104.812,98.787,46557.06,50235.42,50177.18,9.71
2016-07-05,107.04,112.0,108.6,106.66,51001.1,0.57,0.53,104.852,104.673,98.12,48812.97,53458.67,50306.05,12.75
2016-07-04,102.0,108.74,107.99,101.38,49135.29,5.58,5.45,104.33,104.03,97.206,47851.58,58442.52,49813.58,12.28
2016-07-01,100.0,103.5,102.39,100.0,37219.25,2.98,3.0,104.332,103.185,96.382,50131.57,61271.91,49297.45,9.3
2016-06-30,103.4,104.5,99.4,99.0,56589.87,-6.52,-6.16,104.172,102.004,95.762,55422.97,60160.11,50185.25,14.15
